,BOM #,# Sparrow,Parts sparrow,Type,Value,Shape,Manuf,Model,Alt,Mouser #,DK #
,31,2,"C57, C59",Capacitor,22u 10V,0805,Samsung,CL21A226MPQNNNE,TDK C2012X5R1A226M125AB,810-C2012X5R1A226M-3,1276-2910-1-ND
,32,2,"C50, C51",Capacitor,47u 6.3V,0805,Samsung,CL21A476MQCLRNC,Taiyo Yuden JMK212BJ476MG-T,963-JMK212BJ476MG-T,1276-2420-1-ND
,33,1,C60,Capacitor,150u 10V,1210_POL,AVX,TLNT157M010R1500,AVX TLJB157M010R0500,581-TLNT157M010R,478-3349-1-ND
Inductors,,,,,,,,,,,
,34,1,L5,Inductor,2.2n,0402,Taiyo Yuden,HK10052N2S-T,"Taiyo Yuden HK10052N2S-T, Panasonic ELJ-RF2N2ZFB, TDK MLG1005S2N2S",963-HK10052N2S-T,587-1503-1-ND
,35,1,L7,Inductor,"2.2u 2.2Arms, 3A sat",40x40,Laird,TYS40302R2N-10,"Bourns SRN4018-2R2M, Taiyo Yuden NRS4018T2R2MDGJ",963-NRS4018T2R2MDGJ,240-2697-1-ND
,36,1,L1,Inductor,10u 1A,40x40,Taiyo Yuden,NRS4018T100MDGJ,,963-NRS4018T100MDGJ,587-2886-1-ND
Diodes,,,,,,,,,,,
,37,5,"D1, D2, D3, D4, D5",Diode,2A 30V Schottky,SOD123/ SOD123FL,ON Semi,MBR230LSFT1,Comchip CDBMT240-HF,863-MBR230LSFT1G,MBR230LSFT1GOSCT-ND
LEDs,,,,,,,,,,,
,38,4,"LED1, LED2, LED3, LED4",LED,"any color, 100mcd min",0603_POL,Vishay,VLMY1300-GS08 (yellow),Osram LS Q976-NR-1,78-VLMY1300-GS08,475-2512-1-ND
ICs,,,,,,,,,,,
,39,1,IC1,IC,LAN8720A,QFN24-0.5,SMSC/Microchip,LAN8720A/ LAN8720AI,,886-LAN8720A-CP,LAN8720A-CP-CT-ND
,40,1,IC2,IC,TLV320AIC3100,QFN32-0.5,TI,TLV320AIC3100IRHBR/T,,595-V320AIC3100IRHBT,296-25494-1-ND
,41,1,IC3,IC,TPS2500,SON10-0.5,TI,TPS2500DRCT,,595-TPS2500DRCT,296-32462-1-ND
,42,5,"IC4, IC5, IC6, IC7, IC8",IC,AAT4280A,SC70JW-8,Skyworks,AAT4280A,,873-AAT4280AIJS-2-T1,863-1480-1-ND
,43,1,IC9,IC,FXMA108,DFN20,Fairchild,FXMA108,,512-FXMA108BQX,FXMA108BQXFSCT-ND
,44,1,MCU,IC,NXP1837,QFP144-0.5,NXP,LPC1837JBD144E,,771-LPC1837JBD144E,LPC1837JBD144E-ND
,45,1,MCU1,IC,NRF51822,QFN48-0.4,Nordic Semi,NRF51822QFAA,,949-NRF51822-QFAA-R7,
,46,,,IC,PN532,QFN40,NXP,PN5321A3HN/C106;55,,771-PN5321A3HNC106,568-8600-ND
,47,1,PWR1,IC,LTC4080,DFN10,Linear,LTC4080,LTC4081,,LTC4081EDD#PBF-ND
Modules,,,,,,,,,,,
,48,1,WIFI,Module,CC3000,,TI,CC3000MOD,,595-CC3000MOD,296-35512-1-ND
Clocks,,,,,,,,,,,
,49,2,"X1, X3",Crystal,32.768KHz 12.5pF,1206,Abracon,ABS07,"TXC 9HT10-32.768KAZF-T, Citizen CM315D32768DZFT",717-9HT10-32.768KAZF,300-8814-1-ND
,50,1,X2,Crystal,12MHz 10pF 40ppm,3.2 x 2.5,AVX,CX3225GB12000P0HPQCC,ABM8G-12.000MHZ-4Y-T3,581-CX3225GB12PHPQCC,535-10901-1-ND
,51,1,X5,Crystal,16MHz 8pF 40ppm,2.5 x 2.0,AVX,CX2520DB16000D0GEJCC,,581-CX2520DB16DGEJCC,1253-1122-1-ND
,52,,,Crystal,27.12MHz 10pF 20ppm,5 x 3.2,TXC,7B-27.120MEEQ-T,,,887-1309-1-ND
,53,1,X4,Oscillator,50MHz,2.5 x 2.0,SiLabs,501AAA50M0000DAG,SITime SiT8103AI-13-33E-50.00000X,788-8103I-333E50X,336-2981-ND
RF,,,,,,,,,,,
,54,2,"ANT1, ANT2",Antenna,2.4GHz,1206,Abracon,AMCA31-2R450G-S1F,,815-CA312R450GS1FT,535-12386-1-ND
,55,1,BAL1,Balun,for NRF51822,WLCSP5,ST,BALF-NRF01D3,BAL-NRF01D3 (worse),511-BAL-NRF01D3,497-13637-1-ND
Mechanical,,,,,,,,,,,
,56,2,"!PGM, RESET",Button,CK-KMR2,,CK,KMR2xx,,611-KMR211G-LFS,CKN10272CT-ND
,57,1,5VDC_IN,Connector,Barrel 5.5/2.1 2A,,CUI,PJ 102AH,,,CP-102AH-ND
,58,1,BATT,Connector,2mm LiPo/Li-Ion,,JST,PH-H,,,455-1749-1-ND 
,59,1,ETH,Connector,RJ45-Mag-LEDs,,WIZnet,RB1-125BAG1A,,950-RB1-125BAG1A,1278-1011-ND
,60,1,HEADPHONE,Connector,3.5mm stereo,,CUI,SJ 3523,Switchcraft 35RASMT2BHNTRX,502-35RASMT2BHNTRX,CP-3523SJCT-ND
,61,1,SD_CARD,Connector,SD card holder,,Amphenol,101_00313,,523-101-00313-68-02,
,62,1,USB1,Connector,Micro USB-B,,FCI,10104110-0001LF,,649-10104110-0001LF,
,63,1,USB0,Connector,Micro USB-AB,,FCI,10104111-0001LF,,649-10104111-0001LF,
,,,,,,,,,,,
,,,,,,,,,,,
,,,ARM DEBUGs,,,,,,,,
